date,mean_score,median_score,std_dev,count
2022-10-13,3.53,3.0,2.38,38
2022-10-14,2.83,3.0,1.53,41
2022-10-15,3.35,3.0,1.77,46
2022-10-16,3.0,3.0,2.11,42
2022-10-17,3.38,3.0,2.06,26
2022-10-18,3.58,4.0,1.98,36
2022-10-19,3.56,4.0,1.6,27
2022-10-20,2.39,2.0,1.69,31
2022-10-21,3.46,3.0,2.04,39
2022-10-22,4.21,4.0,2.96,34
2022-10-23,3.49,3.0,2.6,37
2022-10-24,2.89,2.0,2.29,27
2022-10-25,3.84,3.0,2.99,31
2022-10-26,3.0,2.5,2.35,30
2022-10-27,2.67,2.0,2.35,21
2022-10-28,2.95,2.0,1.69,39
2022-10-29,3.07,2.0,2.56,27
2022-10-30,3.05,2.0,2.28,38
2022-10-31,2.96,2.0,2.49,25
2022-11-01,2.56,1.5,2.23,18
2022-11-02,3.36,2.5,2.15,22
2022-11-03,3.6,4.0,2.19,30
2022-11-04,2.88,2.0,1.65,24
2022-11-05,2.97,3.0,1.69,30
2022-11-06,3.09,3.0,1.31,22
2022-11-07,1.92,2.0,1.55,25
2022-11-08,3.31,3.0,1.69,26
2022-11-09,3.3,4.0,2.05,30
2022-11-10,2.57,2.0,1.97,35
2022-11-11,2.5,2.0,2.03,28
2022-11-12,1.78,1.0,1.35,23
2022-11-13,2.72,2.0,2.05,25
2022-11-14,6.03,6.5,3.28,32
2022-11-15,4.12,3.0,3.06,26
2022-11-16,2.91,2.0,2.15,32
2022-11-17,2.59,2.0,2.54,22
2022-11-18,2.59,2.0,1.65,34
2022-11-19,4.53,3.5,3.14,30
2022-11-20,2.59,2.0,1.81,34
2022-11-21,2.4,2.0,1.83,35
2022-11-22,3.44,3.0,2.23,39
2022-11-23,2.81,3.0,1.83,26
2022-11-24,2.34,2.0,1.45,35
2022-11-25,2.64,3.0,1.77,28
2022-11-26,2.8,3.0,1.47,41
2022-11-27,2.57,2.0,1.47,23
2022-11-28,2.53,2.0,1.47,19
2022-11-29,3.0,3.0,1.71,23
2022-11-30,2.38,2.0,1.74,29
2022-12-01,1.97,2.0,1.48,39
2022-12-02,2.69,2.0,1.75,35
2022-12-03,2.12,2.0,1.36,33
2022-12-04,3.83,4.0,1.91,30
2022-12-05,3.15,3.0,1.98,20
2022-12-06,3.0,2.0,2.56,27
2022-12-07,3.65,3.0,2.18,17
2022-12-08,3.38,3.0,2.67,39
2022-12-09,3.29,3.0,1.49,34
2022-12-10,2.93,3.0,1.83,43
2022-12-11,2.44,2.0,1.84,36
2022-12-12,2.85,2.0,1.9,41
2022-12-13,2.83,3.0,1.81,35
2022-12-14,3.24,4.0,1.92,34
2022-12-15,3.36,2.5,2.3,22
2022-12-16,2.98,3.0,1.8,42
2022-12-17,2.83,3.0,1.81,29
2022-12-18,3.59,4.0,1.97,29
2022-12-19,1.88,1.0,1.45,60
2022-12-20,2.58,2.0,1.91,62
2022-12-21,2.84,3.0,1.64,44
2022-12-22,2.38,2.0,1.86,34
2022-12-23,3.0,3.0,1.59,28
2022-12-24,2.87,2.0,2.2,45
2022-12-25,2.91,3.0,1.89,47
2022-12-26,3.47,3.0,1.93,30
2022-12-27,1.92,2.0,1.41,26
2022-12-28,3.93,4.0,2.32,30
2022-12-29,2.21,2.0,1.67,14
2022-12-30,4.17,4.0,2.16,42
2022-12-31,2.73,3.0,1.53,30
2023-01-01,2.88,3.0,1.7,32
2023-01-02,2.91,3.0,1.34,22
2023-01-03,4.19,4.0,1.64,31
2023-01-04,2.76,2.0,2.37,34
2023-01-05,3.44,3.0,2.18,25
2023-01-06,3.65,3.0,1.81,43
2023-01-07,3.0,3.0,1.34,30
2023-01-08,3.07,3.0,2.1,30
2023-01-09,3.43,4.0,1.45,28
2023-01-10,3.03,3.0,1.27,34
2023-01-11,2.89,3.0,1.94,18
2023-01-12,2.88,3.0,1.51,25
2023-01-13,4.0,4.0,2.32,41
2023-01-14,3.56,3.0,2.0,41
2023-01-15,2.5,2.0,1.7,26
2023-01-16,2.42,2.0,1.63,31
2023-01-17,3.57,4.0,1.57,49
2023-01-18,4.03,4.0,1.84,35
2023-01-19,2.76,2.0,1.89,50
2023-01-20,2.56,2.0,1.41,32
2023-01-21,3.32,3.0,1.72,44
2023-01-22,3.52,3.0,1.9,23
2023-01-23,3.83,3.0,2.58,41
2023-01-24,3.52,4.0,1.82,31
2023-01-25,3.94,3.5,2.72,32
2023-01-26,3.31,3.5,1.45,16
2023-01-27,3.77,4.0,1.94,44
2023-01-28,3.3,3.0,1.94,37
2023-01-29,3.79,4.0,1.5,29
2023-01-30,4.12,4.0,1.73,24
2023-01-31,2.77,3.0,1.81,30
2023-02-01,3.16,3.0,1.46,31
2023-02-02,3.42,3.0,1.82,40
2023-02-03,2.79,3.0,2.35,38
2023-02-04,2.63,3.0,1.41,41
2023-02-05,2.85,2.0,2.01,27
2023-02-06,3.61,4.0,1.83,23
2023-02-07,3.9,3.0,2.35,30
2023-02-08,2.66,2.0,1.55,35
2023-02-09,3.1,3.0,2.11,29
2023-02-10,3.38,3.0,1.57,29
2023-02-11,2.82,3.0,1.52,38
2023-02-12,3.31,3.0,2.05,36
2023-02-13,3.77,4.0,1.86,26
2023-02-14,3.82,3.0,2.42,28
2023-02-15,3.39,3.0,2.45,33
2023-02-16,2.28,2.0,1.55,32
2023-02-17,2.92,3.0,1.71,38
